Departamento de residencia,Total,Soltera,Casada,Unida,Ignorado,Anio
Jutiapa,10357,6536,3798,20,3,19
Extranjero,339,226,50,0,63,19
Ignorado,68,30,0,0,38,19
Todos los departamentos,341212,211220,129436,344,212,20
Guatemala,54807,33166,21606,8,27,20
El Progreso,3560,2390,1167,3,0,20
Sacatepéquez,6064,3287,2776,0,1,20
Chimaltenango,14090,5633,8451,4,2,20
Escuintla,14102,9486,4590,15,11,20
Santa Rosa,7696,5336,2354,3,3,20
Sololá,9373,5028,4318,25,2,20
Totonicapán,11838,5426,6400,9,3,20
Quetzaltenango,17911,10082,7803,23,3,20
Suchitepéquez,12066,6655,5408,1,2,20
Retalhuleu,7075,3971,3097,4,3,20
San Marcos,26191,17504,8642,37,8,20
Huehuetenango,33839,23715,10114,1,9,20
Quiché,28045,16602,11435,2,6,20
Baja Verapaz,7274,4182,3089,3,0,20
Alta Verapaz,31582,19675,11873,28,6,20
Petén,13358,9717,3487,149,5,20
Izabal,8919,6678,2236,2,3,20
Zacapa,5000,3565,1431,1,3,20
Chiquimula,9693,6671,2999,10,13,20
Jalapa,8457,5945,2508,3,1,20
Jutiapa,9936,6330,3590,13,3,20
Extranjero,223,151,48,0,24,20
Ignorado,113,25,14,0,74,20
Todos los departamentos,345149,215412,129199,336,202,21
Guatemala,51191,31075,20084,5,27,21
El Progreso,3405,2346,1053,6,0,21
Sacatepéquez,5813,3149,2663,0,1,21
Chimaltenango,14151,5606,8541,3,1,21
Escuintla,14189,9625,4538,18,8,21
Santa Rosa,7509,5330,2175,4,0,21
Sololá,9602,5100,4473,28,1,21
Totonicapán,12128,5608,6510,10,0,21
Quetzaltenango,17875,9931,7911,26,7,21
Suchitepéquez,12264,6789,5469,0,6,21
Retalhuleu,6908,3889,3015,2,2,21
San Marcos,26241,17790,8413,27,11,21
Huehuetenango,35558,25358,10194,1,5,21
Quiché,29303,17570,11724,3,6,21
Baja Verapaz,7458,4288,3169,1,0,21
Alta Verapaz,33326,20521,12768,27,10,21
Petén,14095,10207,3739,146,3,21
Izabal,9089,6887,2196,0,6,21
Zacapa,5376,3882,1489,2,3,21
Chiquimula,10388,7331,3043,8,6,21
Jalapa,8707,6272,2434,1,0,21
Jutiapa,10170,6595,3557,18,0,21
Extranjero,328,250,40,0,38,21
Ignorado,75,13,1,0,61,21
