Edad,Total,Guatemala,El Progreso,Sacatepéquez,Chimaltenango,Escuintla,Santa Rosa,Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,San Marcos,Huehuetenango,Quiché,Baja Verapaz,Alta Verapaz,Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa,Extranjero,Ignorado,Anio
22,22345,3895,283,436,846,1095,564,482,671,1201,875,523,1669,2097,1557,450,1984,849,612,409,594,521,724,7,1,11
23,21631,3929,266,413,916,993,539,517,610,1137,828,491,1692,2001,1529,451,1871,764,601,340,594,497,645,6,1,11
24,19944,3519,218,401,780,909,496,492,603,1066,826,449,1522,1928,1407,411,1673,700,512,334,608,460,620,9,1,11
25,19147,3513,237,380,811,869,471,486,548,959,714,374,1499,1816,1368,411,1638,687,481,307,533,437,592,14,2,11
26,18327,3465,222,376,805,817,434,474,590,935,692,353,1400,1641,1289,369,1572,612,490,316,499,424,540,10,2,11
27,17186,3256,179,351,781,750,407,478,514,940,665,366,1283,1561,1159,331,1477,568,436,290,513,381,486,11,3,11
28,16345,3134,171,328,726,651,335,446,517,843,600,341,1236,1568,1143,315,1331,584,412,266,477,424,488,8,1,11
29,14909,2947,179,315,668,568,338,424,478,807,519,285,1094,1411,988,287,1232,508,384,238,431,366,430,11,1,11
30,13723,2674,144,278,600,502,308,348,434,722,471,286,1047,1356,1023,279,1180,441,333,193,398,305,393,7,1,11
31,12866,2541,131,266,639,450,288,398,406,673,421,258,986,1226,961,256,1117,416,285,169,341,293,338,6,1,11
32,11698,2281,117,234,567,363,237,381,403,564,375,239,838,1134,922,199,1048,388,291,146,353,277,333,6,2,11
33,10314,1850,92,183,505,277,233,328,383,533,340,207,800,999,910,190,930,344,250,148,290,220,296,6,0,11
34,9449,1661,92,185,500,301,195,328,348,463,287,173,725,859,862,178,811,358,216,130,273,235,263,5,1,11
35,8042,1362,75,125,341,236,161,258,286,381,271,135,667,805,698,172,755,279,207,132,220,224,248,4,0,11
36,7047,1168,61,134,329,186,159,235,286,353,230,135,537,675,653,157,625,239,184,89,194,194,221,2,1,11
37,5947,948,59,89,317,158,141,194,238,266,197,103,441,606,604,118,517,200,147,70,194,135,200,4,1,11
38,5396,791,49,87,285,133,103,185,251,280,162,114,451,531,515,99,528,170,107,75,176,130,174,0,0,11
39,4460,611,42,76,252,114,87,144,186,201,135,64,388,459,449,84,433,164,99,66,132,123,151,0,0,11
40,3453,448,49,43,151,120,79,106,154,174,105,63,273,373,354,65,330,121,82,51,111,105,96,0,0,11
41,2697,307,24,41,134,60,61,111,112,144,80,41,259,294,279,66,255,88,65,27,86,68,92,3,0,11
42,1860,200,17,22,95,44,40,72,99,97,64,23,179,216,187,50,174,71,38,22,40,47,62,0,1,11
43,1346,145,14,24,69,31,26,44,76,63,42,22,135,129,142,31,117,49,37,18,34,48,48,0,2,11
44,864,74,6,7,46,18,20,28,38,52,33,13,86,89,104,20,92,30,19,17,21,24,27,0,0,11
45,497,56,6,3,25,10,6,12,29,19,19,4,62,59,44,7,34,27,14,8,25,11,16,1,0,11
46,296,22,3,3,11,5,7,5,15,9,10,6,37,42,25,4,36,21,8,2,8,7,10,0,0,11
47,176,18,0,0,3,4,4,8,3,5,6,4,15,29,18,2,21,18,6,1,1,5,5,0,0,11
48,97,9,0,0,2,4,1,3,5,8,3,3,12,14,4,3,11,3,2,1,4,1,4,0,0,11
49,110,3,0,0,1,2,1,3,6,8,7,0,25,13,11,0,13,8,1,0,2,3,3,0,0,11
50,66,3,0,1,2,3,2,2,4,1,4,1,10,12,5,2,8,2,1,1,0,1,1,0,0,11
51,59,2,0,0,0,1,1,0,4,3,3,0,10,7,5,3,6,8,0,1,1,0,4,0,0,11
52,53,6,0,1,2,2,1,0,3,3,1,0,7,4,3,3,3,6,2,1,1,1,3,0,0,11
