Mes,Departamento de residencia,Total,Hombres,Mujeres,Anio
Diciembre,Santa Rosa,688,356,332,09
Diciembre,Sololá,792,427,365,09
Diciembre,Totonicapán,908,438,470,09
Diciembre,Quetzaltenango,1557,788,769,09
Diciembre,Suchitepéquez,1108,581,527,09
Diciembre,Retalhuleu,632,325,307,09
Diciembre,San Marcos,2384,1199,1185,09
Diciembre,Huehuetenango,2999,1529,1470,09
Diciembre,Quiché,2282,1187,1095,09
Diciembre,Baja Verapaz,636,312,324,09
Diciembre,Alta Verapaz,2940,1478,1462,09
Diciembre,Petén,1196,602,594,09
Diciembre,Izabal,834,411,423,09
Diciembre,Zacapa,501,255,246,09
Diciembre,Chiquimula,916,425,491,09
Diciembre,Jalapa,705,360,345,09
Diciembre,Jutiapa,919,480,439,09
Diciembre,Extranjero,11,9,2,09
Diciembre,Ignorado,43,17,26,09
Todos los meses,Todos los departamentos,361906,183354,178552,10
Todos los meses,Guatemala,59021,29884,29137,10
Todos los meses,El Progreso,3761,1916,1845,10
Todos los meses,Sacatepéquez,6697,3449,3248,10
Todos los meses,Chimaltenango,14998,7509,7489,10
Todos los meses,Escuintla,14342,7314,7028,10
Todos los meses,Santa Rosa,8253,4266,3987,10
Todos los meses,Sololá,9413,4793,4620,10
Todos los meses,Totonicapán,11400,5680,5720,10
Todos los meses,Quetzaltenango,19004,9587,9417,10
Todos los meses,Suchitepéquez,12947,6611,6336,10
Todos los meses,Retalhuleu,7418,3747,3671,10
Todos los meses,San Marcos,29322,14877,14445,10
Todos los meses,Huehuetenango,36390,18471,17919,10
Todos los meses,Quiché,27795,13966,13829,10
Todos los meses,Baja Verapaz,7628,3895,3733,10
Todos los meses,Alta Verapaz,33501,16839,16662,10
Todos los meses,Petén,14147,7208,6939,10
Todos los meses,Izabal,9878,5090,4788,10
Todos los meses,Zacapa,5648,2853,2795,10
Todos los meses,Chiquimula,10400,5366,5034,10
Todos los meses,Jalapa,8548,4247,4301,10
Todos los meses,Jutiapa,11134,5645,5489,10
Todos los meses,Extranjero,113,61,52,10
Todos los meses,Ignorado,148,80,68,10
Enero,Todos los departamentos,30671,15566,15105,10
Enero,Guatemala,5029,2505,2524,10
Enero,El Progreso,297,139,158,10
Enero,Sacatepéquez,578,309,269,10
Enero,Chimaltenango,1235,626,609,10
Enero,Escuintla,1241,648,593,10
Enero,Santa Rosa,688,343,345,10
Enero,Sololá,809,411,398,10
Enero,Totonicapán,934,467,467,10
Enero,Quetzaltenango,1585,784,801,10
Enero,Suchitepéquez,1119,566,553,10
Enero,Retalhuleu,594,291,303,10
Enero,San Marcos,2427,1238,1189,10
Enero,Huehuetenango,3099,1597,1502,10
Enero,Quiché,2538,1290,1248,10
Enero,Baja Verapaz,621,314,307,10
Enero,Alta Verapaz,2778,1426,1352,10
Enero,Petén,1205,593,612,10
Enero,Izabal,760,403,357,10
Enero,Zacapa,471,246,225,10
Enero,Chiquimula,953,529,424,10
Enero,Jalapa,748,375,373,10
Enero,Jutiapa,942,457,485,10
Enero,Extranjero,11,4,7,10
Enero,Ignorado,9,5,4,10
Febrero,Todos los departamentos,26422,13359,13063,10
Febrero,Guatemala,4485,2270,2215,10
Febrero,El Progreso,289,142,147,10
Febrero,Sacatepéquez,451,233,218,10
Febrero,Chimaltenango,1108,565,543,10
Febrero,Escuintla,1069,549,520,10
Febrero,Santa Rosa,646,340,306,10
Febrero,Sololá,704,353,351,10
Febrero,Totonicapán,827,432,395,10
Febrero,Quetzaltenango,1351,676,675,10
Febrero,Suchitepéquez,1009,545,464,10
Febrero,Retalhuleu,513,239,274,10
Febrero,San Marcos,2162,1104,1058,10
Febrero,Huehuetenango,2642,1322,1320,10
Febrero,Quiché,2149,1062,1087,10
Febrero,Baja Verapaz,543,291,252,10
Febrero,Alta Verapaz,2314,1143,1171,10
Febrero,Petén,958,493,465,10
Febrero,Izabal,574,293,281,10
Febrero,Zacapa,415,212,203,10
Febrero,Chiquimula,771,405,366,10
Febrero,Jalapa,622,299,323,10
Febrero,Jutiapa,808,386,422,10
Febrero,Extranjero,9,3,6,10
Febrero,Ignorado,3,2,1,10
Marzo,Todos los departamentos,28756,14454,14302,10
Marzo,Guatemala,5002,2534,2468,10
Marzo,El Progreso,290,120,170,10
Marzo,Sacatepéquez,574,288,286,10
Marzo,Chimaltenango,1220,606,614,10
Marzo,Escuintla,1135,601,534,10
Marzo,Santa Rosa,711,372,339,10
Marzo,Sololá,791,398,393,10
Marzo,Totonicapán,956,457,499,10
Marzo,Quetzaltenango,1552,779,773,10
Marzo,Suchitepéquez,1065,521,544,10
Marzo,Retalhuleu,572,275,297,10
Marzo,San Marcos,2216,1113,1103,10
Marzo,Huehuetenango,2873,1454,1419,10
Marzo,Quiché,2385,1170,1215,10
Marzo,Baja Verapaz,616,315,301,10
Marzo,Alta Verapaz,2315,1151,1164,10
Marzo,Petén,1031,521,510,10
Marzo,Izabal,676,351,325,10
Marzo,Zacapa,413,207,206,10
Marzo,Chiquimula,800,412,388,10
Marzo,Jalapa,678,347,331,10
Marzo,Jutiapa,870,453,417,10
Marzo,Extranjero,9,6,3,10
Marzo,Ignorado,6,3,3,10
Abril,Todos los departamentos,27682,14190,13492,10
Abril,Guatemala,4823,2440,2383,10
Abril,El Progreso,270,129,141,10
Abril,Sacatepéquez,543,295,248,10
Abril,Chimaltenango,1215,618,597,10
Abril,Escuintla,1030,513,517,10
Abril,Santa Rosa,660,317,343,10
Abril,Sololá,725,386,339,10
Abril,Totonicapán,920,451,469,10
Abril,Quetzaltenango,1442,754,688,10
Abril,Suchitepéquez,972,518,454,10
Abril,Retalhuleu,547,270,277,10
Abril,San Marcos,2265,1179,1086,10
Abril,Huehuetenango,2710,1412,1298,10
Abril,Quiché,2196,1137,1059,10
Abril,Baja Verapaz,590,305,285,10
Abril,Alta Verapaz,2386,1228,1158,10
Abril,Petén,1031,528,503,10
Abril,Izabal,692,347,345,10
Abril,Zacapa,402,207,195,10
Abril,Chiquimula,781,406,375,10
Abril,Jalapa,672,320,352,10
Abril,Jutiapa,790,419,371,10
Abril,Extranjero,15,11,4,10
Abril,Ignorado,5,0,5,10
Mayo,Todos los departamentos,28832,14559,14273,10
Mayo,Guatemala,4891,2479,2412,10
Mayo,El Progreso,330,171,159,10
Mayo,Sacatepéquez,552,279,273,10
Mayo,Chimaltenango,1190,606,584,10
Mayo,Escuintla,1162,590,572,10
Mayo,Santa Rosa,617,306,311,10
Mayo,Sololá,766,355,411,10
Mayo,Totonicapán,913,440,473,10
Mayo,Quetzaltenango,1469,733,736,10
Mayo,Suchitepéquez,1004,516,488,10
Mayo,Retalhuleu,559,286,273,10
Mayo,San Marcos,2281,1124,1157,10
Mayo,Huehuetenango,2967,1520,1447,10
Mayo,Quiché,2297,1164,1133,10
Mayo,Baja Verapaz,614,314,300,10
Mayo,Alta Verapaz,2503,1240,1263,10
Mayo,Petén,1117,567,550,10
Mayo,Izabal,747,364,383,10
Mayo,Zacapa,427,235,192,10
Mayo,Chiquimula,815,430,385,10
Mayo,Jalapa,715,366,349,10
Mayo,Jutiapa,869,456,413,10
Mayo,Extranjero,10,9,1,10
Mayo,Ignorado,17,9,8,10
Junio,Todos los departamentos,28124,14392,13732,10
Junio,Guatemala,4906,2534,2372,10
Junio,El Progreso,271,139,132,10
Junio,Sacatepéquez,536,271,265,10
Junio,Chimaltenango,1204,591,613,10
Junio,Escuintla,1091,581,510,10
Junio,Santa Rosa,630,332,298,10
Junio,Sololá,717,375,342,10
Junio,Totonicapán,920,444,476,10
Junio,Quetzaltenango,1481,747,734,10
Junio,Suchitepéquez,953,493,460,10
Junio,Retalhuleu,514,252,262,10
Junio,San Marcos,2316,1184,1132,10
Junio,Huehuetenango,2714,1378,1336,10
Junio,Quiché,2214,1142,1072,10
Junio,Baja Verapaz,619,343,276,10
Junio,Alta Verapaz,2479,1263,1216,10
Junio,Petén,1006,504,502,10
Junio,Izabal,666,348,318,10
Junio,Zacapa,467,241,226,10
Junio,Chiquimula,836,434,402,10
Junio,Jalapa,660,332,328,10
Junio,Jutiapa,902,455,447,10
Junio,Extranjero,9,4,5,10
Junio,Ignorado,13,5,8,10
Julio,Todos los departamentos,29511,15033,14478,10
Julio,Guatemala,4834,2505,2329,10
Julio,El Progreso,314,168,146,10
Julio,Sacatepéquez,528,268,260,10
Julio,Chimaltenango,1247,626,621,10
Julio,Escuintla,1128,555,573,10
Julio,Santa Rosa,668,344,324,10
Julio,Sololá,808,410,398,10
Julio,Totonicapán,903,423,480,10
Julio,Quetzaltenango,1590,814,776,10
Julio,Suchitepéquez,1103,571,532,10
Julio,Retalhuleu,603,318,285,10
Julio,San Marcos,2325,1207,1118,10
Julio,Huehuetenango,2986,1514,1472,10
Julio,Quiché,2397,1188,1209,10
Julio,Baja Verapaz,602,302,300,10
Julio,Alta Verapaz,2680,1404,1276,10
Julio,Petén,1125,580,545,10
Julio,Izabal,798,397,401,10
Julio,Zacapa,481,238,243,10
Julio,Chiquimula,830,440,390,10
Julio,Jalapa,670,325,345,10
Julio,Jutiapa,870,429,441,10
Julio,Extranjero,9,2,7,10
Julio,Ignorado,12,5,7,10
Agosto,Todos los departamentos,31502,15906,15596,10
Agosto,Guatemala,5056,2528,2528,10
Agosto,El Progreso,334,176,158,10
Agosto,Sacatepéquez,589,280,309,10
Agosto,Chimaltenango,1353,672,681,10
Agosto,Escuintla,1310,666,644,10
Agosto,Santa Rosa,719,391,328,10
Agosto,Sololá,772,387,385,10
Agosto,Totonicapán,987,499,488,10
Agosto,Quetzaltenango,1715,867,848,10
Agosto,Suchitepéquez,1143,586,557,10
Agosto,Retalhuleu,672,368,304,10
Agosto,San Marcos,2463,1274,1189,10
Agosto,Huehuetenango,3097,1566,1531,10
Agosto,Quiché,2286,1132,1154,10
Agosto,Baja Verapaz,641,331,310,10
Agosto,Alta Verapaz,3033,1508,1525,10
Agosto,Petén,1281,663,618,10
Agosto,Izabal,978,499,479,10
Agosto,Zacapa,541,259,282,10
Agosto,Chiquimula,858,430,428,10
Agosto,Jalapa,720,352,368,10
Agosto,Jutiapa,929,456,473,10
Agosto,Extranjero,7,4,3,10
Agosto,Ignorado,18,12,6,10
Septiembre,Todos los departamentos,34130,17155,16975,10
Septiembre,Guatemala,5316,2662,2654,10
Septiembre,El Progreso,382,191,191,10
Septiembre,Sacatepéquez,619,309,310,10
Septiembre,Chimaltenango,1363,678,685,10
Septiembre,Escuintla,1409,699,710,10
Septiembre,Santa Rosa,776,418,358,10
Septiembre,Sololá,878,442,436,10
Septiembre,Totonicapán,1050,555,495,10
Septiembre,Quetzaltenango,1871,906,965,10
Septiembre,Suchitepéquez,1196,579,617,10
Septiembre,Retalhuleu,779,385,394,10
Septiembre,San Marcos,2797,1427,1370,10
Septiembre,Huehuetenango,3419,1733,1686,10
Septiembre,Quiché,2385,1163,1222,10
Septiembre,Baja Verapaz,721,351,370,10
Septiembre,Alta Verapaz,3452,1740,1712,10
Septiembre,Petén,1353,690,663,10
Septiembre,Izabal,1034,530,504,10
Septiembre,Zacapa,509,255,254,10
Septiembre,Chiquimula,975,489,486,10
Septiembre,Jalapa,803,417,386,10
Septiembre,Jutiapa,1015,520,495,10
Septiembre,Extranjero,11,5,6,10
Septiembre,Ignorado,17,11,6,10
Octubre,Todos los departamentos,33355,16958,16397,10
Octubre,Guatemala,4936,2504,2432,10
Octubre,El Progreso,371,212,159,10
Octubre,Sacatepéquez,565,289,276,10
Octubre,Chimaltenango,1306,674,632,10
Octubre,Escuintla,1286,651,635,10
Octubre,Santa Rosa,735,359,376,10
Octubre,Sololá,816,441,375,10
Octubre,Totonicapán,975,491,484,10
Octubre,Quetzaltenango,1724,884,840,10
Octubre,Suchitepéquez,1227,636,591,10
Octubre,Retalhuleu,746,378,368,10
Octubre,San Marcos,2902,1463,1439,10
Octubre,Huehuetenango,3412,1738,1674,10
Octubre,Quiché,2394,1185,1209,10
Octubre,Baja Verapaz,743,364,379,10
Octubre,Alta Verapaz,3381,1670,1711,10
Octubre,Petén,1442,765,677,10
Octubre,Izabal,1104,602,502,10
Octubre,Zacapa,525,257,268,10
Octubre,Chiquimula,938,470,468,10
Octubre,Jalapa,757,368,389,10
Octubre,Jutiapa,1043,538,505,10
Octubre,Extranjero,8,5,3,10
Octubre,Ignorado,19,14,5,10
Noviembre,Todos los departamentos,30854,15636,15218,10
Noviembre,Guatemala,4843,2469,2374,10
Noviembre,El Progreso,293,155,138,10
Noviembre,Sacatepéquez,577,321,256,10
Noviembre,Chimaltenango,1252,598,654,10
Noviembre,Escuintla,1229,626,603,10
Noviembre,Santa Rosa,680,360,320,10
Noviembre,Sololá,782,409,373,10
Noviembre,Totonicapán,955,470,485,10
Noviembre,Quetzaltenango,1607,802,805,10
Noviembre,Suchitepéquez,1063,547,516,10
Noviembre,Retalhuleu,700,362,338,10
Noviembre,San Marcos,2546,1304,1242,10
Noviembre,Huehuetenango,3133,1541,1592,10
Noviembre,Quiché,2150,1115,1035,10
Noviembre,Baja Verapaz,629,325,304,10
Noviembre,Alta Verapaz,3062,1552,1510,10
Noviembre,Petén,1274,647,627,10
Noviembre,Izabal,927,480,447,10
Noviembre,Zacapa,496,256,240,10
Noviembre,Chiquimula,881,438,443,10
Noviembre,Jalapa,734,350,384,10
Noviembre,Jutiapa,1025,502,523,10
Noviembre,Extranjero,8,2,6,10
Noviembre,Ignorado,8,5,3,10
Diciembre,Todos los departamentos,32067,16146,15921,10
Diciembre,Guatemala,4900,2454,2446,10
Diciembre,El Progreso,320,174,146,10
Diciembre,Sacatepéquez,585,307,278,10
Diciembre,Chimaltenango,1305,649,656,10
Diciembre,Escuintla,1252,635,617,10
Diciembre,Santa Rosa,723,384,339,10
Diciembre,Sololá,845,426,419,10
