Grupos quinquenales de edad,Total,TotalH,TotalM,Urban,UrbanH,UrbanM,Rural,RuralH,RuralM,Ignorado,IgnoradoH,IgnoradoM,Victima o Agresor,Anio
15 a 19,2895,136,2759,1435,77,1358,1398,56,1342,62,3,59,V,15,
20 a 24,5998,379,5619,3446,201,3245,2423,168,2255,129,10,119,V,15,
25 a 29,5972,457,5515,3579,266,3313,2227,179,2048,166,12,154,V,15,
30 a 34,5162,424,4738,3104,259,2845,1893,159,1734,165,6,159,V,15,
35 a 39,3985,370,3615,2424,243,2181,1467,119,1348,94,8,86,V,15,
40 a 44,2505,296,2209,1476,186,1290,952,99,853,77,11,66,V,15,
45 a 49,1539,205,1334,890,142,748,596,58,538,53,5,48,V,15,
50 a 54,1046,158,888,579,85,494,432,68,364,35,5,30,V,15,
55 a 59,713,174,539,403,96,307,295,75,220,15,3,12,V,15,
60 a 64,496,128,368,267,61,206,204,61,143,25,6,19,V,15,
65 a 69,336,111,225,184,63,121,144,46,98,8,2,6,V,15,
70 a 74,227,86,141,112,38,74,109,47,62,6,1,5,V,15,
75 a 79,145,68,77,71,29,42,67,36,31,7,3,4,V,15,
80 y más,207,102,105,99,46,53,105,54,51,3,2,1,V,15,
Ignorado,299,31,268,179,19,160,104,11,93,16,1,15,V,15,
Total,31929,27951,3978,18451,16099,2352,12608,11066,1542,870,786,84,A,15,
10 a 14,20,12,8,14,11,3,6,1,5,0,0,0,A,15,
15 a 19,1242,988,254,639,500,139,578,465,113,25,23,2,A,15,
20 a 24,4874,4273,601,2707,2344,363,2061,1830,231,106,99,7,A,15,
25 a 29,5918,5259,659,3480,3087,393,2298,2043,255,140,129,11,A,15,
30 a 34,5601,4987,614,3378,3006,372,2078,1845,233,145,136,9,A,15,
35 a 39,4670,4155,515,2797,2487,310,1756,1563,193,117,105,12,A,15,
40 a 44,3133,2757,376,1840,1615,225,1207,1064,143,86,78,8,A,15,
45 a 49,2060,1778,282,1203,1026,177,806,706,100,51,46,5,A,15,
50 a 54,1351,1154,197,756,646,110,554,472,82,41,36,5,A,15,
55 a 59,761,636,125,415,347,68,328,273,55,18,16,2,A,15,
