Grupo de edades,Total,Ninguno,Primaria,Básico,Diversificado,Universitario,Ignorado,Sexo,Victima o Agresor,Anio
50 a 54,1327,343,643,121,130,46,44,H,A,13
55 a 59,724,199,346,45,81,24,29,H,A,13
60 a 64,389,120,165,30,44,17,13,H,A,13
65 a 69,182,59,81,10,14,9,9,H,A,13
70 a 74,92,42,33,7,8,1,1,H,A,13
75 a 79,41,16,22,1,2,0,0,H,A,13
80 y más,36,17,12,2,2,1,2,H,A,13
Ignorado,1998,380,467,117,165,23,846,H,A,13
05 a 09,0,0,0,0,0,0,0,M,A,13
10 a 14,14,1,10,3,0,0,0,M,A,13
15 a 19,231,21,109,68,24,1,8,M,A,13
20 a 24,604,79,273,125,100,14,13,M,A,13
25 a 29,642,113,258,105,133,16,17,M,A,13
30 a 34,601,115,238,89,119,16,24,M,A,13
35 a 39,508,116,219,66,82,14,11,M,A,13
40 a 44,370,109,162,30,47,9,13,M,A,13
45 a 49,319,104,122,27,48,5,13,M,A,13
50 a 54,238,98,90,14,22,6,8,M,A,13
55 a 59,113,50,39,11,6,2,5,M,A,13
60 a 64,62,32,20,2,6,1,1,M,A,13
65 a 69,26,15,9,2,0,0,0,M,A,13
70 a 74,10,4,6,0,0,0,0,M,A,13
75 a 79,7,3,3,0,1,0,0,M,A,13
80 y más,4,3,0,0,0,0,1,M,A,13
Ignorado,271,41,59,21,27,6,117,M,A,13
07 a 09,28,5,20,0,0,0,3,H,V,14
10 a 14,51,2,35,11,0,0,3,H,V,14
15 a 19,130,12,42,55,18,0,3,H,V,14
20 a 24,357,25,144,80,94,7,7,H,V,14
25 a 29,447,28,144,80,162,18,15,H,V,14
30 a 34,439,47,150,69,132,26,15,H,V,14
35 a 39,382,42,157,55,85,34,9,H,V,14
40 a 44,270,30,125,34,57,17,7,H,V,14
45 a 49,232,39,104,29,39,17,4,H,V,14
50 a 54,183,35,70,28,28,16,6,H,V,14
55 a 59,159,44,72,19,14,9,1,H,V,14
60 a 64,150,50,72,7,15,5,1,H,V,14
65 a 69,113,46,44,4,11,2,6,H,V,14
70 a 74,80,36,29,7,5,3,0,H,V,14
75 a 79,62,31,24,0,5,0,2,H,V,14
80 y más,74,40,29,1,3,0,1,H,V,14
Ignorado,31,5,15,3,6,0,2,H,V,14
07 a 09,30,4,23,0,0,0,3,M,V,14
10 a 14,253,29,161,52,0,0,11,M,V,14
15 a 19,3186,429,1529,796,330,16,86,M,V,14
20 a 24,5918,879,2403,1145,1218,110,163,M,V,14
