Grupos de edad,Total,Alfabeta,Analfabeta,Ignorado,Sexo,Victima o Agresor,Anio
20 a 24,357,336,20,1,H,V,14
25 a 29,447,417,25,5,H,V,14
30 a 34,439,394,40,5,H,V,14
35 a 39,382,350,32,0,H,V,14
40 a 44,270,243,26,1,H,V,14
45 a 49,232,203,29,0,H,V,14
50 a 54,183,153,28,2,H,V,14
55 a 59,159,121,38,0,H,V,14
60 a 64,150,105,44,1,H,V,14
65 a 69,113,72,41,0,H,V,14
70 a 74,80,48,32,0,H,V,14
75 a 79,62,34,28,0,H,V,14
80 y más,74,36,37,1,H,V,14
Ignorado,31,25,5,1,H,V,14
Total,31057,24562,6314,181,M,V,14
07 a 09,30,26,2,2,M,V,14
10 a 14,253,218,29,6,M,V,14
15 a 19,3186,2792,380,14,M,V,14
20 a 24,5918,5111,778,29,M,V,14
25 a 29,5920,4961,926,33,M,V,14
30 a 34,5209,4222,968,19,M,V,14
35 a 39,3784,2937,826,21,M,V,14
40 a 44,2477,1784,682,11,M,V,14
45 a 49,1489,980,496,13,M,V,14
50 a 54,931,531,393,7,M,V,14
55 a 59,566,320,243,3,M,V,14
60 a 64,388,185,203,0,M,V,14
65 a 69,246,101,141,4,M,V,14
70 a 74,130,51,78,1,M,V,14
75 a 79,94,25,69,0,M,V,14
80 y más,90,35,53,2,M,V,14
Ignorado,346,283,47,16,M,V,14
10 a 14,17,14,3,0,H,A,14
15 a 19,1033,905,114,14,H,A,14
20 a 24,4576,4131,395,50,H,A,14
25 a 29,5450,4850,548,52,H,A,14
30 a 34,5465,4826,591,48,H,A,14
35 a 39,4389,3848,505,36,H,A,14
40 a 44,2838,2396,419,23,H,A,14
45 a 49,1962,1631,315,16,H,A,14
50 a 54,1294,989,292,13,H,A,14
55 a 59,699,504,183,12,H,A,14
60 a 64,354,241,109,4,H,A,14
65 a 69,215,143,71,1,H,A,14
70 a 74,105,71,32,2,H,A,14
10 a 14,16,15,0,1,M,A,14
15 a 19,240,214,24,2,M,A,14
20 a 24,591,515,74,2,M,A,14
25 a 29,634,546,82,6,M,A,14
30 a 34,627,504,117,6,M,A,14
35 a 39,550,435,112,3,M,A,14
40 a 44,353,260,88,5,M,A,14
45 a 49,281,191,84,6,M,A,14
50 a 54,225,136,87,2,M,A,14
55 a 59,133,81,52,0,M,A,14
60 a 64,59,30,28,1,M,A,14
65 a 69,54,22,31,1,M,A,14
70 a 74,14,7,7,0,M,A,14
Total,3187,2776,397,14,H,V,15
07 a 09,25,22,2,1,H,V,15
10 a 14,37,34,3,0,H,V,15
15 a 19,136,128,8,0,H,V,15
20 a 24,379,365,12,2,H,V,15
25 a 29,457,433,22,2,H,V,15
30 a 34,424,396,28,0,H,V,15
35 a 39,370,346,24,0,H,V,15
40 a 44,296,257,38,1,H,V,15
45 a 49,205,189,15,1,H,V,15
50 a 54,158,131,25,2,H,V,15
55 a 59,174,141,32,1,H,V,15
60 a 64,128,93,34,1,H,V,15
65 a 69,111,82,29,0,H,V,15
70 a 74,86,49,37,0,H,V,15
75 a 79,68,37,31,0,H,V,15
80 y más,102,51,51,0,H,V,15
Ignorado,31,22,6,3,H,V,15
Total,28670,23191,5370,109,M,V,15
07 a 09,32,30,1,1,M,V,15
10 a 14,238,215,20,3,M,V,15
15 a 19,2759,2426,325,8,M,V,15
20 a 24,5619,4978,627,14,M,V,15
25 a 29,5515,4736,764,15,M,V,15
30 a 34,4738,3891,835,12,M,V,15
35 a 39,3615,2809,788,18,M,V,15
40 a 44,2209,1628,571,10,M,V,15
45 a 49,1334,913,419,2,M,V,15
50 a 54,888,565,319,4,M,V,15
55 a 59,539,328,207,4,M,V,15
60 a 64,368,203,163,2,M,V,15
65 a 69,225,111,112,2,M,V,15
70 a 74,141,68,72,1,M,V,15
75 a 79,77,32,45,0,M,V,15
80 y más,105,43,61,1,M,V,15
Ignorado,268,215,41,12,M,V,15
10 a 14,12,10,2,0,H,A,15
15 a 19,988,875,109,4,H,A,15
20 a 24,4273,3880,364,29,H,A,15
25 a 29,5259,4761,464,34,H,A,15
30 a 34,4987,4467,484,36,H,A,15
35 a 39,4155,3652,478,25,H,A,15
40 a 44,2757,2340,403,14,H,A,15
45 a 49,1778,1458,307,13,H,A,15
50 a 54,1154,904,245,5,H,A,15
55 a 59,636,487,143,6,H,A,15
60 a 64,383,284,97,2,H,A,15
