Departamento de ocurrencia,Pueblo de pertenencia de la madre,Total,Menos de 15,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 y más,Ignorado,Anio,Departamento de residencia
Quetzaltenango,Todos los grupos étnicos,242,1,35,74,56,30,17,10,1,0,18,09,
Quetzaltenango,Indígena,140,0,24,47,35,16,9,4,1,0,4,09,
Quetzaltenango,No indígena,67,1,8,20,16,11,5,4,0,0,2,09,
Quetzaltenango,Ignorado,35,0,3,7,5,3,3,2,0,0,12,09,
Suchitepéquez,Todos los grupos étnicos,12771,80,2399,3761,2934,1697,931,339,44,16,570,09,
Suchitepéquez,Indígena,5600,24,940,1662,1281,807,452,188,21,8,217,09,
Suchitepéquez,No indígena,4930,36,951,1506,1185,616,304,101,17,6,208,09,
Suchitepéquez,Ignorado,2241,20,508,593,468,274,175,50,6,2,145,09,
Suchitepéquez,Todos los grupos étnicos,7532,54,1537,2274,1722,930,477,169,21,6,342,09,
Suchitepéquez,Indígena,2578,11,514,800,548,327,187,82,9,2,98,09,
Suchitepéquez,No indígena,3451,24,661,1078,856,424,194,60,8,3,143,09,
Suchitepéquez,Ignorado,1503,19,362,396,318,179,96,27,4,1,101,09,
Suchitepéquez,Todos los grupos étnicos,5026,25,823,1432,1153,738,440,165,23,10,217,09,
Suchitepéquez,Indígena,2961,13,416,846,716,470,261,104,12,6,117,09,
Suchitepéquez,No indígena,1364,11,269,396,297,177,106,38,9,3,58,09,
Suchitepéquez,Ignorado,701,1,138,190,140,91,73,23,2,1,42,09,
Suchitepéquez,Todos los grupos étnicos,213,1,39,55,59,29,14,5,0,0,11,09,
Suchitepéquez,Indígena,61,0,10,16,17,10,4,2,0,0,2,09,
Suchitepéquez,No indígena,115,1,21,32,32,15,4,3,0,0,7,09,
Suchitepéquez,Ignorado,37,0,8,7,10,4,6,0,0,0,2,09,
Retalhuleu,Todos los grupos étnicos,7297,73,1512,2184,1677,988,460,144,25,4,230,09,
Retalhuleu,Indígena,695,4,137,187,158,102,63,24,3,0,17,09,
Retalhuleu,No indígena,1736,19,377,503,360,229,100,25,7,1,115,09,
Retalhuleu,Ignorado,4866,50,998,1494,1159,657,297,95,15,3,98,09,
Retalhuleu,Todos los grupos étnicos,4877,52,1060,1526,1111,642,272,73,10,2,129,09,
Retalhuleu,Indígena,328,1,66,93,74,46,31,10,2,0,5,09,
Retalhuleu,No indígena,1113,15,263,328,228,148,47,14,2,1,67,09,
Retalhuleu,Ignorado,3436,36,731,1105,809,448,194,49,6,1,57,09,
Retalhuleu,Todos los grupos étnicos,2334,21,440,627,545,338,184,68,15,2,94,09,
Retalhuleu,Indígena,360,3,69,93,82,55,32,13,1,0,12,09,
Retalhuleu,No indígena,606,4,113,169,129,79,52,11,5,0,44,09,
Retalhuleu,Ignorado,1368,14,258,365,334,204,100,44,9,2,38,09,
Retalhuleu,Todos los grupos étnicos,86,0,12,31,21,8,4,3,0,0,7,09,
Retalhuleu,Indígena,7,0,2,1,2,1,0,1,0,0,0,09,
Retalhuleu,No indígena,17,0,1,6,3,2,1,0,0,0,4,09,
Retalhuleu,Ignorado,62,0,9,24,16,5,3,2,0,0,3,09,
San Marcos,Todos los grupos étnicos,27590,186,5101,7660,6034,4093,2436,961,151,65,903,09,
San Marcos,Indígena,9698,52,1613,2536,2092,1605,1094,416,66,27,197,09,
San Marcos,No indígena,14107,115,2882,4230,3128,1957,995,405,57,27,311,09,
San Marcos,Ignorado,3785,19,606,894,814,531,347,140,28,11,395,09,
San Marcos,Todos los grupos étnicos,9434,75,1983,2791,2062,1287,640,244,23,12,317,09,
San Marcos,Indígena,1551,7,293,432,349,218,142,56,2,2,50,09,
San Marcos,No indígena,6831,60,1485,2079,1487,931,422,162,14,10,181,09,
San Marcos,Ignorado,1052,8,205,280,226,138,76,26,7,0,86,09,
San Marcos,Todos los grupos étnicos,17495,105,2982,4680,3844,2722,1736,697,125,50,554,09,
San Marcos,Indígena,7889,44,1269,2029,1693,1352,926,348,63,25,140,09,
San Marcos,No indígena,6959,51,1328,2055,1581,986,550,236,41,15,116,09,
San Marcos,Ignorado,2647,10,385,596,570,384,260,113,21,10,298,09,
San Marcos,Todos los grupos étnicos,661,6,136,189,128,84,60,20,3,3,32,09,
